hand_id,player,stack,profit
1,GPTBot,3310,310
1,GeminiBot,2990,-10
1,ClaudeBot,2700,-300
2,GPTBot,2940,-60
2,GeminiBot,1500,-1500
2,ClaudeBot,4560,1560
3,GPTBot,3400,400
3,GeminiBot,2800,-200
3,ClaudeBot,2800,-200
4,GPTBot,3150,150
4,GeminiBot,2990,-10
4,ClaudeBot,2860,-140
5,GPTBot,3030,30
5,GeminiBot,2990,-10
5,ClaudeBot,2980,-20
6,GPTBot,3170,170
6,GeminiBot,2850,-150
6,ClaudeBot,2980,-20
7,GPTBot,3220,220
7,GeminiBot,2800,-200
7,ClaudeBot,2980,-20
8,GPTBot,3760,760
8,GeminiBot,2800,-200
8,ClaudeBot,2440,-560
9,GPTBot,3300,300
9,GeminiBot,2850,-150
9,ClaudeBot,2850,-150
10,GPTBot,3070,70
10,GeminiBot,2990,-10
10,ClaudeBot,2940,-60
11,GPTBot,2940,-60
11,GeminiBot,6060,3060
11,ClaudeBot,0,-3000
12,GPTBot,0,-3000
12,GeminiBot,2990,-10
12,ClaudeBot,6010,3010
13,GPTBot,3030,30
13,GeminiBot,2990,-10
13,ClaudeBot,2980,-20
14,GPTBot,3790,790
14,GeminiBot,2990,-10
14,ClaudeBot,2220,-780
15,GPTBot,3150,150
15,GeminiBot,2990,-10
15,ClaudeBot,2860,-140
16,GPTBot,3220,220
16,GeminiBot,2800,-200
16,ClaudeBot,2980,-20
17,GPTBot,4220,1220
17,GeminiBot,1800,-1200
17,ClaudeBot,2980,-20
18,GPTBot,3400,400
18,GeminiBot,2800,-200
18,ClaudeBot,2800,-200
19,GPTBot,3220,220
19,GeminiBot,2800,-200
19,ClaudeBot,2980,-20
20,GPTBot,3520,520
20,GeminiBot,2740,-260
20,ClaudeBot,2740,-260
21,GPTBot,3030,30
21,GeminiBot,2990,-10
21,ClaudeBot,2980,-20
22,GPTBot,3135,135
22,GeminiBot,2990,-10
22,ClaudeBot,2875,-125
23,GPTBot,3060,60
23,GeminiBot,2990,-10
23,ClaudeBot,2950,-50
24,GPTBot,3070,70
24,GeminiBot,2990,-10
24,ClaudeBot,2940,-60
25,GPTBot,3400,400
25,GeminiBot,2800,-200
25,ClaudeBot,2800,-200
26,GPTBot,3030,30
26,GeminiBot,2990,-10
26,ClaudeBot,2980,-20
27,GPTBot,3400,400
27,GeminiBot,2800,-200
27,ClaudeBot,2800,-200
28,GPTBot,3030,30
28,GeminiBot,2990,-10
28,ClaudeBot,2980,-20
29,GPTBot,3600,600
29,GeminiBot,2700,-300
29,ClaudeBot,2700,-300
30,GPTBot,3910,910
30,GeminiBot,2990,-10
30,ClaudeBot,2100,-900
31,GPTBot,3170,170
31,GeminiBot,2990,-10
31,ClaudeBot,2840,-160
32,GPTBot,3210,210
32,GeminiBot,2990,-10
32,ClaudeBot,2800,-200
33,GPTBot,3220,220
33,GeminiBot,2800,-200
33,ClaudeBot,2980,-20
34,GPTBot,0,-3000
34,GeminiBot,2880,-120
34,ClaudeBot,6120,3120
35,GPTBot,3450,450
35,GeminiBot,2990,-10
35,ClaudeBot,2560,-440
36,GPTBot,3850,850
36,GeminiBot,2800,-200
36,ClaudeBot,2350,-650
37,GPTBot,3720,720
37,GeminiBot,2820,-180
37,ClaudeBot,2460,-540
38,GPTBot,2700,-300
38,GeminiBot,2990,-10
38,ClaudeBot,3310,310
39,GPTBot,3220,220
39,GeminiBot,2800,-200
39,ClaudeBot,2980,-20
40,GPTBot,3220,220
40,GeminiBot,2800,-200
40,ClaudeBot,2980,-20
41,GPTBot,3220,220
41,GeminiBot,2800,-200
41,ClaudeBot,2980,-20
42,GPTBot,3210,210
42,GeminiBot,2990,-10
42,ClaudeBot,2800,-200
43,GPTBot,3070,70
43,GeminiBot,2990,-10
43,ClaudeBot,2940,-60
44,GPTBot,3030,30
44,GeminiBot,2990,-10
44,ClaudeBot,2980,-20
45,GPTBot,3400,400
45,GeminiBot,2800,-200
45,ClaudeBot,2800,-200
46,GPTBot,3030,30
46,GeminiBot,2990,-10
46,ClaudeBot,2980,-20
47,GPTBot,3610,610
47,GeminiBot,2990,-10
47,ClaudeBot,2400,-600
48,GPTBot,3030,30
48,GeminiBot,2990,-10
48,ClaudeBot,2980,-20
49,GPTBot,3910,910
49,GeminiBot,2990,-10
49,ClaudeBot,2100,-900
50,GPTBot,3210,210
50,GeminiBot,2990,-10
50,ClaudeBot,2800,-200
51,GPTBot,3400,400
51,GeminiBot,2990,-10
51,ClaudeBot,2610,-390
52,GPTBot,3910,910
52,GeminiBot,2990,-10
52,ClaudeBot,2100,-900
53,GPTBot,3310,310
53,GeminiBot,2990,-10
53,ClaudeBot,2700,-300
54,GPTBot,3220,220
54,GeminiBot,2800,-200
54,ClaudeBot,2980,-20
55,GPTBot,1000,-2000
55,GeminiBot,2800,-200
55,ClaudeBot,5200,2200
56,GPTBot,2940,-60
56,GeminiBot,1500,-1500
56,ClaudeBot,4560,1560
57,GPTBot,3200,200
57,GeminiBot,2820,-180
57,ClaudeBot,2980,-20
58,GPTBot,2940,-60
58,GeminiBot,0,-3000
58,ClaudeBot,6060,3060
59,GPTBot,3070,70
59,GeminiBot,2990,-10
59,ClaudeBot,2940,-60
60,GPTBot,3610,610
60,GeminiBot,2990,-10
60,ClaudeBot,2400,-600
61,GPTBot,3220,220
61,GeminiBot,2800,-200
61,ClaudeBot,2980,-20
62,GPTBot,3400,400
62,GeminiBot,2800,-200
62,ClaudeBot,2800,-200
63,GPTBot,2940,-60
63,GeminiBot,3080,80
63,ClaudeBot,2980,-20
64,GPTBot,3300,300
64,GeminiBot,2760,-240
64,ClaudeBot,2940,-60
65,GPTBot,3220,220
65,GeminiBot,2800,-200
65,ClaudeBot,2980,-20
66,GPTBot,3030,30
66,GeminiBot,2990,-10
66,ClaudeBot,2980,-20
67,GPTBot,3220,220
67,GeminiBot,2800,-200
67,ClaudeBot,2980,-20
68,GPTBot,3220,220
68,GeminiBot,2800,-200
68,ClaudeBot,2980,-20
69,GPTBot,3920,920
69,GeminiBot,2740,-260
69,ClaudeBot,2340,-660
70,GPTBot,3030,30
70,GeminiBot,2990,-10
70,ClaudeBot,2980,-20
71,GPTBot,2940,-60
71,GeminiBot,1500,-1500
71,ClaudeBot,4560,1560
72,GPTBot,0,-3000
72,GeminiBot,2990,-10
72,ClaudeBot,6010,3010
73,GPTBot,3030,30
73,GeminiBot,2990,-10
73,ClaudeBot,2980,-20
74,GPTBot,3610,610
74,GeminiBot,2990,-10
74,ClaudeBot,2400,-600
75,GPTBot,3400,400
75,GeminiBot,2800,-200
75,ClaudeBot,2800,-200
76,GPTBot,3220,220
76,GeminiBot,2800,-200
76,ClaudeBot,2980,-20
77,GPTBot,3190,190
77,GeminiBot,2990,-10
77,ClaudeBot,2820,-180
78,GPTBot,3480,480
78,GeminiBot,2760,-240
78,ClaudeBot,2760,-240
79,GPTBot,3610,610
79,GeminiBot,2990,-10
79,ClaudeBot,2400,-600
80,GPTBot,3310,310
80,GeminiBot,2990,-10
80,ClaudeBot,2700,-300
81,GPTBot,3150,150
81,GeminiBot,2990,-10
81,ClaudeBot,2860,-140
82,GPTBot,3530,530
82,GeminiBot,2990,-10
82,ClaudeBot,2480,-520
83,GPTBot,3030,30
83,GeminiBot,2990,-10
83,ClaudeBot,2980,-20
84,GPTBot,3030,30
84,GeminiBot,2990,-10
84,ClaudeBot,2980,-20
85,GPTBot,3030,30
85,GeminiBot,2990,-10
85,ClaudeBot,2980,-20
86,GPTBot,3070,70
86,GeminiBot,2990,-10
86,ClaudeBot,2940,-60
87,GPTBot,3030,30
87,GeminiBot,2990,-10
87,ClaudeBot,2980,-20
88,GPTBot,6010,3010
88,GeminiBot,2990,-10
88,ClaudeBot,0,-3000
89,GPTBot,3150,150
89,GeminiBot,2990,-10
89,ClaudeBot,2860,-140
90,GPTBot,3130,130
90,GeminiBot,2990,-10
90,ClaudeBot,2880,-120
91,GPTBot,3030,30
91,GeminiBot,2990,-10
91,ClaudeBot,2980,-20
92,GPTBot,3910,910
92,GeminiBot,2990,-10
92,ClaudeBot,2100,-900
93,GPTBot,3030,30
93,GeminiBot,2990,-10
93,ClaudeBot,2980,-20
94,GPTBot,3300,300
94,GeminiBot,2940,-60
94,ClaudeBot,2760,-240
95,GPTBot,4220,1220
95,GeminiBot,1800,-1200
95,ClaudeBot,2980,-20
96,GPTBot,3220,220
96,GeminiBot,2800,-200
96,ClaudeBot,2980,-20
97,GPTBot,2940,-60
97,GeminiBot,3080,80
97,ClaudeBot,2980,-20
98,GPTBot,3310,310
98,GeminiBot,2990,-10
98,ClaudeBot,2700,-300
99,GPTBot,3220,220
99,GeminiBot,2800,-200
99,ClaudeBot,2980,-20
100,GPTBot,3480,480
100,GeminiBot,2760,-240
100,ClaudeBot,2760,-240
101,GPTBot,3170,170
101,GeminiBot,2990,-10
101,ClaudeBot,2840,-160
102,GPTBot,6010,3010
102,GeminiBot,2990,-10
102,ClaudeBot,0,-3000
103,GPTBot,3030,30
103,GeminiBot,2990,-10
103,ClaudeBot,2980,-20
104,GPTBot,3220,220
104,GeminiBot,2800,-200
104,ClaudeBot,2980,-20
105,GPTBot,3030,30
105,GeminiBot,2990,-10
105,ClaudeBot,2980,-20
106,GPTBot,3220,220
106,GeminiBot,2800,-200
106,ClaudeBot,2980,-20
107,GPTBot,3005,5
107,GeminiBot,2990,-10
107,ClaudeBot,3005,5
108,GPTBot,3660,660
108,GeminiBot,2990,-10
108,ClaudeBot,2350,-650
109,GPTBot,3170,170
109,GeminiBot,2990,-10
109,ClaudeBot,2840,-160
110,GPTBot,3220,220
110,GeminiBot,2800,-200
110,ClaudeBot,2980,-20
111,GPTBot,3030,30
111,GeminiBot,2990,-10
111,ClaudeBot,2980,-20
112,GPTBot,3400,400
112,GeminiBot,2800,-200
112,ClaudeBot,2800,-200
113,GPTBot,3030,30
113,GeminiBot,2990,-10
113,ClaudeBot,2980,-20
114,GPTBot,3570,570
114,GeminiBot,2990,-10
114,ClaudeBot,2440,-560
115,GPTBot,3030,30
115,GeminiBot,2990,-10
