game_id,round_id,player,street,hand_cards,board_cards,action,amount,stack_before,pot_size,position,is_raise,is_call,is_fold,timestamp
GLOBAL,1,GPTBot,preflop,"['S5', 'HJ']",[],raise,60,3000,30,seat_0,True,False,False,2026-05-12T23:46:59.890319
GLOBAL,1,GeminiBot,preflop,"['H3', 'H4']",[],fold,0,2990,90,seat_1,False,False,True,2026-05-12T23:47:02.181694
GLOBAL,1,ClaudeBot,preflop,"['D6', 'DQ']",[],raise,180,2980,90,seat_2,True,False,False,2026-05-12T23:47:06.215298
GLOBAL,1,GPTBot,preflop,"['S5', 'HJ']",[],raise,300,2940,250,seat_0,True,False,False,2026-05-12T23:47:09.054153
GLOBAL,1,ClaudeBot,preflop,"['D6', 'DQ']",[],call,300,2820,490,seat_2,False,True,False,2026-05-12T23:47:13.265031
GLOBAL,1,ClaudeBot,flop,"['D6', 'DQ']","['H7', 'H8', 'HA']",call,0,2700,610,seat_2,False,True,False,2026-05-12T23:47:18.189296
GLOBAL,1,GPTBot,flop,"['S5', 'HJ']","['H7', 'H8', 'HA']",raise,2700,2700,610,seat_0,True,False,False,2026-05-12T23:47:20.766491
GLOBAL,1,ClaudeBot,flop,"['D6', 'DQ']","['H7', 'H8', 'HA']",fold,0,2700,3310,seat_2,False,False,True,2026-05-12T23:47:25.506728
GLOBAL,2,GPTBot,preflop,"['S8', 'D8']",[],raise,60,3000,30,seat_0,True,False,False,2026-05-12T23:47:28.162777
GLOBAL,2,GeminiBot,preflop,"['D5', 'C5']",[],raise,200,2990,90,seat_1,True,False,False,2026-05-12T23:47:30.425620
GLOBAL,2,ClaudeBot,preflop,"['HJ', 'DJ']",[],raise,600,2980,280,seat_2,True,False,False,2026-05-12T23:47:33.990601
GLOBAL,2,GPTBot,preflop,"['S8', 'D8']",[],fold,0,2940,860,seat_0,False,False,True,2026-05-12T23:47:36.344353
GLOBAL,2,GeminiBot,preflop,"['D5', 'C5']",[],raise,1500,2800,860,seat_1,True,False,False,2026-05-12T23:47:38.770222
GLOBAL,2,ClaudeBot,preflop,"['HJ', 'DJ']",[],raise,2400,2400,2160,seat_2,True,False,False,2026-05-12T23:47:43.137275
GLOBAL,2,GeminiBot,preflop,"['D5', 'C5']",[],fold,0,1500,3960,seat_1,False,False,True,2026-05-12T23:47:45.681926
GLOBAL,3,GPTBot,preflop,"['HT', 'D6']",[],raise,60,3000,30,seat_0,True,False,False,2026-05-12T23:47:48.384539
GLOBAL,3,GeminiBot,preflop,"['S8', 'SK']",[],raise,200,2990,90,seat_1,True,False,False,2026-05-12T23:47:50.803362
GLOBAL,3,ClaudeBot,preflop,"['HQ', 'DT']",[],call,200,2980,280,seat_2,False,True,False,2026-05-12T23:47:55.246319
GLOBAL,3,GPTBot,preflop,"['HT', 'D6']",[],raise,2940,2940,460,seat_0,True,False,False,2026-05-12T23:47:57.717922
GLOBAL,3,GeminiBot,preflop,"['S8', 'SK']",[],fold,0,2800,3340,seat_1,False,False,True,2026-05-12T23:48:00.039704
GLOBAL,3,ClaudeBot,preflop,"['HQ', 'DT']",[],fold,0,2800,3340,seat_2,False,False,True,2026-05-12T23:48:05.147813
GLOBAL,4,GPTBot,preflop,"['S3', 'C7']",[],raise,60,3000,30,seat_0,True,False,False,2026-05-12T23:48:07.955276
GLOBAL,4,GeminiBot,preflop,"['H3', 'S7']",[],fold,0,2990,90,seat_1,False,False,True,2026-05-12T23:48:10.373519
GLOBAL,4,ClaudeBot,preflop,"['D4', 'SQ']",[],call,60,2980,90,seat_2,False,True,False,2026-05-12T23:48:14.726280
GLOBAL,4,ClaudeBot,flop,"['D4', 'SQ']","['C3', 'C5', 'S6']",raise,80,2940,130,seat_2,True,False,False,2026-05-12T23:48:18.792035
GLOBAL,4,GPTBot,flop,"['S3', 'C7']","['C3', 'C5', 'S6']",raise,2940,2940,210,seat_0,True,False,False,2026-05-12T23:48:20.848373
GLOBAL,4,ClaudeBot,flop,"['D4', 'SQ']","['C3', 'C5', 'S6']",fold,0,2860,3150,seat_2,False,False,True,2026-05-12T23:48:25.316690
